Gender;height(m);Weight
Female;1,67;79
Male;1,83;131
Female;1,64;142
Male;1,67;64
Female;1,51;55
Female;1,47;107
Female;1,55;115
Female;1,72;108
Female;1,42;86
Male;1,46;85
Female;1,88;115
Male;1,73;111
Female;1,6;109
Male;1,87;80
Male;1,98;136
Female;1,79;150
Female;1,64;59
Female;1,46;147
Female;1,98;50
Female;1,7;53
Male;1,52;98
Female;1,5;153
Female;1,84;121
Female;1,41;136
Male;1,5;95
Male;1,73;131

